Simd Library Performance Report:

Test generation time: 2026.04.18 17:08:42

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Function                     |    API  Scalar AutoVec   Sse2  Sse41   Avx2  Avx5b    Psv | Scal/AVec Scal/S2 Scal/S4 Scal/A2 Scal/A6 Scal/Ps | Scal/AVec AVec/S2 S2/S4 S4/A2 A2/A6 A6/Ps |
| AveragingBinarization[==],   | 2.398,  6.906,  4.660, 2.364,      , 2.400, 2.441, 2.539, |     1.48,   2.92,       ,   2.88,   2.83,   2.72, |     1.48,   1.97,     , 0.98, 0.98, 0.96, |
| AveragingBinarization[> ],   | 2.517,  6.340,  4.575, 2.607,      , 2.409, 2.529, 2.538, |     1.39,   2.43,       ,   2.63,   2.51,   2.50, |     1.39,   1.75,     , 1.08, 0.95, 1.00, |
| AveragingBinarization[>=],   | 2.395,  6.328,  4.750, 2.368,      , 2.587, 2.560, 2.576, |     1.33,   2.67,       ,   2.45,   2.47,   2.46, |     1.33,   2.01,     , 0.92, 1.01, 0.99, |
| BackgroundAdjustRange,       | 0.749, 20.117,  0.773, 0.774,      , 0.772, 0.711, 0.782, |    26.02,  26.00,       ,  26.07,  28.30,  25.72, |    26.02,   1.00,     , 1.00, 1.09, 0.91, |
| BackgroundAdjustRangeMasked, | 0.926, 21.922,  0.956, 0.931,      , 0.962, 0.926, 0.980, |    22.94,  23.56,       ,  22.79,  23.67,  22.36, |    22.94,   1.03,     , 0.97, 1.04, 0.94, |
| BackgroundGrowRangeFast,     | 0.517, 19.230,  0.539, 0.557,      , 0.543, 0.506, 0.522, |    35.67,  34.53,       ,  35.41,  37.97,  36.81, |    35.67,   0.97,     , 1.03, 1.07, 0.97, |
| BackgroundGrowRangeSlow,     | 0.538, 19.517,  0.547, 0.604,      , 0.575, 0.521, 0.572, |    35.66,  32.34,       ,  33.97,  37.49,  34.12, |    35.66,   0.91,     , 1.05, 1.10, 0.91, |
| BackgroundIncrementCount,    | 0.895, 20.627,  0.908, 0.937,      , 0.949, 0.923, 0.906, |    22.72,  22.01,       ,  21.74,  22.36,  22.76, |    22.72,   0.97,     , 0.99, 1.03, 1.02, |
| BackgroundInitMask,          | 0.427,  8.881,  0.414, 0.405,      , 0.406, 0.449, 0.419, |    21.43,  21.92,       ,  21.86,  19.79,  21.17, |    21.43,   1.02,     , 1.00, 0.91, 1.07, |
| BackgroundShiftRange,        | 0.535, 18.752,  1.160, 0.572,      , 0.542, 0.538, 0.520, |    16.17,  32.76,       ,  34.62,  34.87,  36.05, |    16.17,   2.03,     , 1.06, 1.01, 1.03, |
| BackgroundShiftRangeMasked,  | 0.721, 19.349,  1.515, 0.770,      , 0.895, 0.712, 0.738, |    12.77,  25.13,       ,  21.61,  27.18,  26.21, |    12.77,   1.97,     , 0.86, 1.26, 0.96, |
| Base64Decode,                | 0.503,  1.252,  1.256,      , 0.591, 0.500, 0.508, 0.543, |     1.00,       ,   2.12,   2.50,   2.46,   2.30, |     1.00,       , 2.13, 1.18, 0.98, 0.94, |
| Base64Encode,                | 0.499,  1.514,  1.514,      , 0.590, 0.512, 0.495, 0.509, |     1.00,       ,   2.57,   2.96,   3.06,   2.98, |     1.00,       , 2.57, 1.15, 1.04, 0.97, |
| BayerToBgr,                  | 1.143, 12.959, 12.736,      , 1.713, 1.106, 1.126, 1.121, |     1.02,       ,   7.56,  11.71,  11.51,  11.56, |     1.02,       , 7.43, 1.55, 0.98, 1.00, |
| BayerToBgra,                 | 1.260, 13.157, 13.341, 1.258,      , 1.129, 1.213, 1.241, |     0.99,  10.46,       ,  11.66,  10.84,  10.60, |     0.99,  10.60,     , 1.11, 0.93, 0.98, |
| BgrToBayer,                  | 0.810,  1.394,  1.169,      , 0.817,      , 0.805, 0.896, |     1.19,       ,   1.71,       ,   1.73,   1.56, |     1.19,       , 1.43,     , 1.01, 0.90, |
| Binarization[!=],            | 0.474,  1.041,  0.464, 0.415,      , 0.391, 0.494, 0.452, |     2.24,   2.51,       ,   2.66,   2.11,   2.30, |     2.24,   1.12,     , 1.06, 0.79, 1.09, |
| Binarization[< ],            | 0.455,  1.069,  0.461, 0.411,      , 0.391, 0.497, 0.490, |     2.32,   2.60,       ,   2.74,   2.15,   2.18, |     2.32,   1.12,     , 1.05, 0.79, 1.01, |
| Binarization[<=],            | 0.460,  1.127,  0.466, 0.407,      , 0.408, 0.494, 0.511, |     2.42,   2.77,       ,   2.76,   2.28,   2.20, |     2.42,   1.15,     , 1.00, 0.83, 0.97, |
| Binarization[==],            | 0.506,  1.046,  0.433, 0.404,      , 0.400, 0.467, 0.460, |     2.41,   2.59,       ,   2.61,   2.24,   2.27, |     2.41,   1.07,     , 1.01, 0.86, 1.01, |
| Binarization[> ],            | 0.558,  1.181,  0.518, 0.409,      , 0.394, 0.552, 0.471, |     2.28,   2.89,       ,   3.00,   2.14,   2.51, |     2.28,   1.27,     , 1.04, 0.71, 1.17, |
| Binarization[>=],            | 0.466,  1.077,  0.470, 0.414,      , 0.390, 0.482, 0.479, |     2.29,   2.60,       ,   2.76,   2.24,   2.25, |     2.29,   1.14,     , 1.06, 0.81, 1.01, |
| ConditionalCount16i[!=],     | 0.408,  1.145,  1.350, 0.513,      , 0.481, 0.411, 0.420, |     0.85,   2.23,       ,   2.38,   2.79,   2.73, |     0.85,   2.63,     , 1.07, 1.17, 0.98, |
| ConditionalCount16i[< ],     | 0.407,  9.351,  9.380, 0.533,      , 0.471, 0.420, 0.430, |     1.00,  17.54,       ,  19.86,  22.27,  21.75, |     1.00,  17.59,     , 1.13, 1.12, 0.98, |
| ConditionalCount16i[<=],     | 0.407,  9.310,  9.774, 0.547,      , 0.432, 0.412, 0.410, |     0.95,  17.01,       ,  21.57,  22.61,  22.72, |     0.95,  17.86,     , 1.27, 1.05, 1.00, |
| ConditionalCount16i[==],     | 0.416,  1.027,  1.014, 0.520,      , 0.541, 0.410, 0.412, |     1.01,   1.98,       ,   1.90,   2.51,   2.49, |     1.01,   1.95,     , 0.96, 1.32, 0.99, |
| ConditionalCount16i[> ],     | 0.431,  9.291,  9.417, 0.555,      , 0.457, 0.403, 0.435, |     0.99,  16.74,       ,  20.35,  23.04,  21.35, |     0.99,  16.96,     , 1.22, 1.13, 0.93, |
| ConditionalCount16i[>=],     | 0.413,  9.715,  9.239, 0.804,      , 0.469, 0.429, 0.451, |     1.05,  12.09,       ,  20.72,  22.63,  21.52, |     1.05,  11.50,     , 1.71, 1.09, 0.95, |
| ConditionalCount8u[!=],      | 0.211,  1.048,  0.965, 0.254,      , 0.230, 0.219, 0.234, |     1.09,   4.13,       ,   4.55,   4.78,   4.48, |     1.09,   3.80,     , 1.10, 1.05, 0.94, |
| ConditionalCount8u[< ],      | 0.211, 11.110,  8.799, 0.271,      , 0.263, 0.206, 0.245, |     1.26,  41.04,       ,  42.28,  53.83,  45.31, |     1.26,  32.51,     , 1.03, 1.27, 0.84, |
| ConditionalCount8u[<=],      | 0.208,  8.805,  8.826, 0.280,      , 0.236, 0.211, 0.233, |     1.00,  31.44,       ,  37.25,  41.79,  37.78, |     1.00,  31.51,     , 1.19, 1.12, 0.90, |
| ConditionalCount8u[==],      | 0.212,  1.006,  0.973, 0.254,      , 0.232, 0.257, 0.286, |     1.03,   3.97,       ,   4.34,   3.92,   3.51, |     1.03,   3.84,     , 1.09, 0.90, 0.90, |
| ConditionalCount8u[> ],      | 0.211,  8.958,  8.821, 0.274,      , 0.240, 0.213, 0.256, |     1.02,  32.73,       ,  37.26,  41.98,  35.01, |     1.02,  32.23,     , 1.14, 1.13, 0.83, |
| ConditionalCount8u[>=],      | 0.221,  9.552,  9.367, 0.273,      , 0.241, 0.216, 0.245, |     1.02,  34.99,       ,  39.60,  44.25,  38.93, |     1.02,  34.31,     , 1.13, 1.12, 0.88, |
| ConditionalFill[!=],         | 0.404,  0.912,  0.407, 0.400,      , 0.383, 0.418, 0.429, |     2.24,   2.28,       ,   2.38,   2.18,   2.13, |     2.24,   1.02,     , 1.04, 0.92, 0.97, |
| ConditionalFill[< ],         | 0.423,  9.952,  0.406, 0.405,      , 0.403, 0.432, 0.487, |    24.52,  24.55,       ,  24.70,  23.02,  20.45, |    24.52,   1.00,     , 1.01, 0.93, 0.89, |
| ConditionalFill[<=],         | 0.408, 10.097,  0.384, 0.400,      , 0.380, 0.424, 0.392, |    26.32,  25.22,       ,  26.56,  23.84,  25.77, |    26.32,   0.96,     , 1.05, 0.90, 1.08, |
| ConditionalFill[==],         | 0.296,  0.974,  0.292, 0.393,      , 0.389, 0.293, 0.341, |     3.34,   2.48,       ,   2.50,   3.32,   2.85, |     3.34,   0.74,     , 1.01, 1.33, 0.86, |
| ConditionalFill[> ],         | 0.416,  9.699,  0.403, 0.399,      , 0.385, 0.400, 0.487, |    24.08,  24.29,       ,  25.18,  24.26,  19.91, |    24.08,   1.01,     , 1.04, 0.96, 0.82, |
| ConditionalFill[>=],         | 0.471, 10.368,  0.393, 0.398,      , 0.405, 0.462, 0.477, |    26.39,  26.06,       ,  25.62,  22.42,  21.74, |    26.39,   0.99,     , 0.98, 0.87, 0.97, |
| ConditionalSum[!=],          | 0.373,  1.020,  0.447, 0.436,      , 0.439, 0.391, 0.406, |     2.28,   2.34,       ,   2.33,   2.61,   2.51, |     2.28,   1.03,     , 0.99, 1.12, 0.96, |
| ConditionalSum[< ],          | 0.419,  9.532,  0.456, 0.477,      , 0.437, 0.416, 0.399, |    20.92,  19.98,       ,  21.81,  22.92,  23.90, |    20.92,   0.96,     , 1.09, 1.05, 1.04, |
| ConditionalSum[<=],          | 0.374,  8.874,  0.451, 0.453,      , 0.423, 0.371, 0.393, |    19.66,  19.59,       ,  20.96,  23.95,  22.57, |    19.66,   1.00,     , 1.07, 1.14, 0.94, |
| ConditionalSum[==],          | 0.379,  1.488,  0.472, 0.457,      , 0.460, 0.365, 0.359, |     3.15,   3.25,       ,   3.23,   4.08,   4.14, |     3.15,   1.03,     , 0.99, 1.26, 1.02, |
| ConditionalSum[> ],          | 0.380,  9.825,  0.454, 0.460,      , 0.468, 0.374, 0.378, |    21.65,  21.35,       ,  20.99,  26.30,  25.98, |    21.65,   0.99,     , 0.98, 1.25, 0.99, |
| ConditionalSum[>=],          | 0.400,  8.934,  0.484, 0.461,      , 0.442, 0.380, 0.410, |    18.44,  19.37,       ,  20.22,  23.49,  21.77, |    18.44,   1.05,     , 1.04, 1.16, 0.93, |
| NeuralConvert[0],            | 1.405,  1.295,  1.366, 1.375,      , 1.319, 1.370, 1.362, |     0.95,   0.94,       ,   0.98,   0.95,   0.95, |     0.95,   0.99,     , 1.04, 0.96, 1.01, |
| NeuralConvert[1],            | 1.352,  1.877,  1.346, 1.359,      , 1.314, 1.353, 1.326, |     1.39,   1.38,       ,   1.43,   1.39,   1.42, |     1.39,   0.99,     , 1.03, 0.97, 1.02, |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
